Episode,Score,MaxScore,AvgScore100,Epsilon,Steps,TotalReward
516,4,22,8.4375,0.075285,108,-60.0
517,11,22,8.5882,0.074909,190,10.0
518,9,22,8.6111,0.074534,126,-10.0
519,1,22,8.2105,0.074162,24,-90.0
520,15,22,8.5500,0.073791,302,50.0
521,0,22,8.1429,0.073422,111,-100.0
522,23,23,8.8182,0.073055,408,130.0
523,15,23,9.0870,0.072689,317,50.0
524,3,23,8.8333,0.072326,55,-70.0
525,15,23,9.0800,0.071964,195,50.0
526,16,23,9.3462,0.071605,258,60.0
527,16,23,9.5926,0.071247,220,60.0
528,9,23,9.5714,0.070890,128,-10.0
529,3,23,9.3448,0.070536,38,-70.0
530,14,23,9.5000,0.070183,226,40.0
531,8,23,9.4516,0.069832,93,-20.0
532,16,23,9.6562,0.069483,246,60.0
533,4,23,9.4848,0.069136,124,-60.0
534,16,23,9.6765,0.068790,358,60.0
535,4,23,9.5143,0.068446,71,-60.0
536,6,23,9.4167,0.068104,89,-40.0
537,3,23,9.2432,0.067763,78,-70.0
538,8,23,9.2105,0.067424,98,-20.0
539,8,23,9.1795,0.067087,115,-20.0
540,8,23,9.1500,0.066752,172,-20.0
541,21,23,9.4390,0.066418,275,110.0
542,22,23,9.7381,0.066086,248,120.0
543,3,23,9.5814,0.065756,50,-70.0
544,7,23,9.5227,0.065427,91,-30.0
545,17,23,9.6889,0.065100,255,70.0
546,13,23,9.7609,0.064774,177,30.0
547,12,23,9.8085,0.064450,246,20.0
548,10,23,9.8125,0.064128,200,0.0
549,15,23,9.9184,0.063807,218,50.0
550,8,23,9.8800,0.063488,172,-20.0
551,18,23,10.0392,0.063171,361,80.0
552,6,23,9.9615,0.062855,131,-40.0
553,10,23,9.9623,0.062541,116,0.0
554,9,23,9.9444,0.062228,120,-10.0
555,12,23,9.9818,0.061917,136,20.0
556,16,23,10.0893,0.061607,310,60.0
557,11,23,10.1053,0.061299,152,10.0
558,27,27,10.3966,0.060993,357,170.0
559,23,27,10.6102,0.060688,347,130.0
560,5,27,10.5167,0.060384,65,-50.0
561,11,27,10.5246,0.060083,169,10.0
562,12,27,10.5484,0.059782,151,20.0
563,15,27,10.6190,0.059483,241,50.0
564,3,27,10.5000,0.059186,51,-70.0
565,4,27,10.4000,0.058890,69,-60.0
566,13,27,10.4394,0.058595,186,30.0
567,6,27,10.3731,0.058302,118,-40.0
568,2,27,10.2500,0.058011,21,-80.0
569,10,27,10.2464,0.057721,177,0.0
570,3,27,10.1429,0.057432,30,-70.0
571,9,27,10.1268,0.057145,164,-10.0
572,0,27,9.9861,0.056859,73,-100.0
573,13,27,10.0274,0.056575,240,30.0
574,5,27,9.9595,0.056292,99,-50.0
575,1,27,9.8400,0.056011,16,-90.0
576,14,27,9.8947,0.055731,234,40.0
577,10,27,9.8961,0.055452,113,0.0
578,12,27,9.9231,0.055175,177,20.0
579,12,27,9.9494,0.054899,156,20.0
580,18,27,10.0500,0.054624,229,80.0
581,20,27,10.1728,0.054351,260,100.0
582,7,27,10.1341,0.054080,111,-30.0
583,17,27,10.2169,0.053809,246,70.0
584,10,27,10.2143,0.053540,137,0.0
585,2,27,10.1176,0.053272,155,-80.0
586,9,27,10.1047,0.053006,217,-10.0
587,6,27,10.0575,0.052741,74,-40.0
588,12,27,10.0795,0.052477,159,20.0
589,8,27,10.0562,0.052215,147,-20.0
590,7,27,10.0222,0.051954,99,-30.0
591,21,27,10.1429,0.051694,316,110.0
592,20,27,10.2500,0.051436,232,100.0
593,8,27,10.2258,0.051178,107,-20.0
594,12,27,10.2447,0.050923,192,20.0
595,5,27,10.1895,0.050668,56,-50.0
